,NAME,ONLINE_ORDER,BOOK_TABLE,RATE,DISH_LIKED,APPROX_COST(FOR TWO PEOPLE)
7680,Gelato Italiano,Yes,No,3.4/5,"Burgers, Salads, Pizza, Sandwiches, Pesto Pasta, Pasta Alfredo, Chocolate Brownie Bowl",200
7683,Cupcake Bliss,Yes,No,3.3 /5,"Burgers, Salads, Pizza, Sandwiches, Pesto Pasta, Pasta Alfredo, Chocolate Brownie Bowl",250
7689,Creamy Zone,No,No,3.2/5,"Burgers, Salads, Pizza, Sandwiches, Pesto Pasta, Pasta Alfredo, Chocolate Brownie Bowl",100
7695,Warm Oven,Yes,No,3.4/5,"Burgers, Salads, Pizza, Sandwiches, Pesto Pasta, Pasta Alfredo, Chocolate Brownie Bowl",500
7702,Chez Mariannick,No,No,4.1/5,"Pizza, Salad, Banana Toffee Cheesecake, Caramel Custard, Croissants, Crepe, Creme Brulee",1000
7709,Little Black Choux,No,No,4.0/5,"Opera Cake, Cup Cake, Red Velvet, Chocolate Mousse",250
7713,Mojo Bites,No,No,3.9/5,"Opera Cake, Cup Cake, Red Velvet, Chocolate Mousse",250
7716,Kartik's Mithai Shoppe,No,No,3.5/5,"Opera Cake, Cup Cake, Red Velvet, Chocolate Mousse",150
7719,The 3 Musketeers,No,No,3.2/5,"Opera Cake, Cup Cake, Red Velvet, Chocolate Mousse",200
7723,KC Das - Sweet Sensation,No,No,2.9/5,"Opera Cake, Cup Cake, Red Velvet, Chocolate Mousse",200
7725,Mad Over Donuts,Yes,No,3.9/5,"Donut, Double Trouble, Cup Cake, Chocolate Decadence, Choco Bomb",450
7726,Kheer Kadamb - Bengali Sweets and Snacks,No,No,NEW,"Donut, Double Trouble, Cup Cake, Chocolate Decadence, Choco Bomb",300
7727,Daily Bread,No,No,3.6/5,"Donut, Double Trouble, Cup Cake, Chocolate Decadence, Choco Bomb",600
7728,Ice Stone Creamery,No,No,3.4/5,"Donut, Double Trouble, Cup Cake, Chocolate Decadence, Choco Bomb",400
